iter	RMSE
0	3638425.449
1	3567432.427
2	3498381.041
3	3427538.41
4	3358264.217
5	3293757.058
6	3230836.531
7	3166843.176
8	3109158.627
9	3052484.238
10	2999067.81
11	2943695.049
12	2891710.085
13	2842485.821
14	2793813.682
15	2743290.424
16	2699184.05
17	2657043.396
18	2616288.762
19	2573167.245
20	2533784.511
21	2499143.296
22	2460566.116
23	2427066.232
24	2391405.657
25	2361575.058
26	2327334.71
27	2294811.759
28	2265495.836
29	2237000.755
30	2209470.302
31	2179507.055
32	2150395.643
33	2123479.709
34	2099030.394
35	2076854.718
36	2052170.71
37	2028431.667
38	2012571.998
39	1992453.257
40	1972946.16
41	1951364.746
42	1930741.793
43	1906660.203
44	1885121.375
45	1861364.607
46	1838587.256
47	1820183.054
48	1801194.011
49	1782009.847
50	1762919.511
51	1746077.968
52	1728460.977
53	1708805.007
54	1694206.477
55	1680065.575
56	1663967.852
57	1648230.928
58	1631596.595
59	1616434.668
60	1601876.158
61	1590375.092
62	1578561.215
63	1566019.793
64	1553499.487
65	1538761.223
66	1529155.537
67	1516922.713
68	1504390.204
69	1492058.099
70	1481812.792
71	1471930.576
72	1459627.263
73	1451097.423
74	1442524.607
75	1432711.012
76	1423960.263
77	1415484.736
78	1407206.242
79	1398919.343
80	1391154.507
81	1381919.118
82	1373584.532
83	1366659.981
84	1362880.553
85	1354079.034
86	1345458.101
87	1339787.028
88	1333100.681
89	1327939.865
90	1318205.341
91	1310639.468
92	1304571.175
93	1298815.597
94	1292599.961
95	1285953.502
96	1280568.31
97	1275824.34
98	1268794.05
99	1262056.962
100	1254778.222
101	1249913.308
102	1243139.12
103	1237528.777
104	1232948.423
105	1227832.763
106	1224636.849
107	1220384.825
108	1214830.58
109	1209201.848
110	1204293.098
111	1200009.014
112	1195488.88
113	1190846.34
114	1185426.785
115	1181103.526
116	1175840.254
117	1172296.381
118	1167135.996
119	1161842.577
120	1159173.509
121	1154434.357
122	1150495.365
123	1148259.205
124	1143636.512
125	1139466.925
126	1135667.066
127	1129795.381
128	1126336.044
129	1123382.196
130	1119867.343
131	1117401.028
132	1112803.224
133	1111013.971
134	1107830.141
135	1104719.319
136	1100240.707
137	1097661.884
138	1095603.001
139	1092790.465
140	1090100.146
141	1083336.775
142	1080430.046
143	1076516.648
144	1073295.881
145	1070615.299
146	1068143.072
147	1066187.304
148	1063524.888
149	1061295.789
150	1059979.574
151	1058783.377
152	1055552.852
153	1053676.462
